citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17
Saint-Denis, Reunion	4806.918676289081	3652.8282678284436	5.670370370370386	1.9488803017956224	9	5800.53442467411	5698.159389747995	5803.416956004259	6841.235607148975	1.6357253422046492	19.946980129884302	9508.518462263159	9541.206927361023	47.61361393012364										3.6000000000000227	4.066666666666688	5.166666666666684	2.3000000000000274	5.533333333333349	8.100000000000007	7.766666666666675	6.800000000000011	7.700000000000008										California	California	California	Texas	Aargau	Aargau	California	California	Aargau										United States	United States	United States	United States	Switzerland	Switzerland	United States	United States	Switzerland									
Beni, Congo (Kinshasa)	2979.183939580228	1712.9036732837083	6.450000000000013	1.149999999999996	2	4692.087612863937	1266.28026629652																	5.300000000000017	7.6000000000000085																	Florida	Florida																	United States	United States																
Gaborone, Botswana	2584.333171030706	1947.1006017180764	5.355555555555572	1.9486620924668434	3	4937.722091245606	2645.771002915373	169.50641893113868																2.6000000000000263	6.700000000000012	6.766666666666678																Thuringia	Aargau	Aargau																Germany	Switzerland	Switzerland															
Blantyre, Malawi	2448.02974186845	2334.287112562112	5.438888888888905	1.925599153189834	6	5801.2166973070725	374.31245052520956	5591.238162201602	899.2481969169517	1619.8045919705837	402.35835228928266													2.43333333333336	3.2333333333333574	7.20000000000001	7.500000000000009	6.26666666666668	6.000000000000014													Unknown	Unknown	Unknown	Aargau	Aargau	Aargau													Unknown	Unknown	Unknown	Switzerland	Switzerland	Switzerland												
Nouakchott, Mauritania	2446.3351205545137	3162.1753466565447	7.311111111111121	0.748991090949007	6	5393.722118586835	84.93238284006664	880.4158064237223	51.475810019913965	8124.392123843158	143.07248161338774													6.300000000000013	7.933333333333341	8.100000000000007	7.366666666666676	6.300000000000013	7.866666666666674													California	California	Aargau	Ontario	Saxony	Aargau													United States	United States	Switzerland	Canada	Germany	Switzerland												
Kitwe, Zambia	2345.8972636572894	2040.2741503932455	6.342857142857156	2.280400569498609	7	5461.138055550355	4453.466276725928	2018.742069811093	185.51160126991155	379.0861770893424	221.76149588959336	3701.575169264802												1.7666666666666944	6.033333333333347	6.36666666666668	8.533333333333339	8.500000000000005	8.300000000000006	4.900000000000018												Unknown	Unknown	Unknown	California	Aargau	Aargau	Florida												Unknown	Unknown	Unknown	United States	Switzerland	Switzerland	United States											
Mzuzu, Malawi	2073.6556639603155	1170.9594019505587	5.980000000000013	2.505336526519158	5	191.14061553415982	3196.19379355949	3393.0144712335045	2072.0053051172526	1515.924134357171														7.733333333333341	6.2000000000000135	1.1000000000000256	7.766666666666675	7.10000000000001														New South Wales	Florida	Florida	Aargau	Aargau														Australia	United States	United States	Switzerland	Switzerland													
Praia, Cabo Verde	1834.20386247095	1744.9572394184584	7.636666666666676	0.6238678635024474	10	3730.913407448318	3722.8808941268103	3689.3219826872705	145.94097572227025	3935.0318071438987	165.02432147669282	2670.751385906909	161.10917276165216	91.65700827512595	29.407669160556555									7.233333333333343	8.500000000000005	7.833333333333341	7.700000000000008	7.766666666666675	6.400000000000013	6.766666666666678	8.100000000000007	7.800000000000008	8.266666666666673									California	California	California	New South Wales	California	Aargau	Aargau	Aargau	Aargau	Aargau									United States	United States	United States	Australia	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland								
Kamina, Congo (Kinshasa)	1820.5400104299683	0	6.033333333333347	0	1	1820.5400104299683																		6.033333333333347																		Unknown																		Unknown																	
N’Zérékoré, Guinea	1695.4603244548653	1611.0807112195093	6.683333333333345	1.0874281585465735	8	2344.918009518873	805.3025916047096	872.7127940522806	877.8193984954434	5532.208274539895	367.2434901724374	2254.4890690621087	508.98896819317446											7.800000000000008	6.733333333333345	7.6000000000000085	7.10000000000001	4.633333333333352	5.166666666666684	7.466666666666676	6.966666666666677											California	Aargau	Aargau	Aargau	England	England	Aargau	Aargau											United States	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland										
Dodoma, Tanzania	1613.862768136085	1706.528860080117	7.1733333333333436	0.8026068637743968	5	4965.312672724888	661.7592541821967	328.49187141040903	783.1624488400194	1330.5875935229117														6.766666666666678	7.833333333333341	6.533333333333346	6.333333333333346	8.400000000000006														Thuringia	Mazovia	New York	Aargau	Aargau														Germany	Poland	United States	Switzerland	Switzerland													
Bo, Sierra Leone	1472.9331736381644	1942.2650594664137	6.485714285714299	0.9614567556424548	7	63.40457687471759	6012.900846264112	1523.6656673428342	1021.1945586489921	1423.245133912348	200.33153888512427	65.78989353902207												7.700000000000008	6.333333333333346	7.000000000000011	4.533333333333353	6.6666666666666785	7.233333333333343	5.933333333333348												New South Wales	North Carolina	Aargau	Aargau	Aargau	Saxony	Aargau												Australia	United States	Switzerland	Switzerland	Switzerland	Germany	Switzerland											
Mwanza, Tanzania	1469.5946444546764	1134.1421174886698	7.658333333333341	0.9810354507129438	4	3303.770090330299	1521.2247496043226	519.0482933038522	534.3354445802323															8.533333333333339	7.633333333333342	6.066666666666681	8.400000000000006															Oregon	Oregon	California	California															United States	United States	United States	United States														
Libreville, Gabon	1452.7173282818462	1256.281855535715	5.338095238095254	2.53805503407807	7	170.67780711828397	2505.562801474714	238.9899438483547	3057.6844993069076	1078.459275475138	2987.8021193229984	129.8448514265282												8.666666666666671	2.066666666666695	1.0333333333333588	6.36666666666668	6.000000000000014	6.533333333333346	6.700000000000012												New South Wales	Île-de-France	Michigan	Aargau	Aargau	Aargau	Aargau												Australia	France	United States	Switzerland	Switzerland	Switzerland	Switzerland											
Gitega, Burundi	1415.3429237187831	919.8353163148416	6.652380952380964	1.4999319712464732	7	1782.5611613584344	1761.4721984327084	107.92049753302025	39.134659312968495	1586.311300206562	1858.5330727887442	2771.467576399045												5.900000000000015	7.666666666666675	7.866666666666674	7.800000000000008	6.566666666666679	7.400000000000009	3.3666666666666902												Aargau	Aargau	Aargau	Aargau	Saxony	Florida	Florida												Switzerland	Switzerland	Switzerland	Switzerland	Germany	United States	United States											
Namibe, Angola	1414.4379538977007	1742.661929476266	6.466666666666679	1.3765899897936156	8	477.9097180504142	488.7670780756376	327.58979071662213	292.1608358787904	3896.679018240358	565.8913775786684	4899.052595950405	367.4532166907101											8.03333333333334	7.500000000000009	6.566666666666679	7.933333333333341	4.266666666666687	4.433333333333353	6.000000000000014	7.000000000000011											California	Ontario	Aargau	Aargau	Saxony	Florida	Florida	Aargau											United States	Canada	Switzerland	Switzerland	Germany	United States	United States	Switzerland										
Kisangani, Congo (Kinshasa)	1405.974138933564	0	7.733333333333341	0	1	1405.974138933564																		7.733333333333341																		Aargau																		Switzerland																	
Kankan, Guinea	1397.1405122130661	948.7635875724333	7.533333333333342	0.5333333333333314	2	448.3769246406329	2345.9040997854995																	8.066666666666674	7.000000000000011																	New South Wales	Aargau																	Australia	Switzerland																
Moanda, Congo (Kinshasa)	1361.2239272441436	0	8.166666666666673	0	1	1361.2239272441436																		8.166666666666673																		Aargau																		Switzerland																	
