citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36
Ufa, Bashkortostan, Russia	3281.8478557846747	1618.1617174513246	6.658333333333345	1.124567818220746	4	3995.9551624875235	4532.617830626537	4097.886798147914	500.93163187672315																																		5.600000000000016	7.266666666666676	5.566666666666682	8.200000000000006																																		England	Arizona	California	Aargau																																		United Kingdom	United States	United States	Switzerland																																	
Khabarovsk, Khabarovskiy Kray, Russia	3210.6527054773655	2664.1916760115528	7.224444444444455	1.3142222973734572	15	6213.649758224527	5500.638374908881	6331.309165878705	5692.662161567189	6094.673613961917	229.6082380066523	1371.1553716840322	5814.022651848374	3317.3592103617907	5711.135555152906	1797.2568243962432	29.94717078431637	14.016143146312269	17.983206988811776	24.3731352498178																							8.03333333333334	7.6000000000000085	7.366666666666676	8.000000000000007	8.433333333333339	6.400000000000013	2.9000000000000252	7.933333333333341	7.1333333333333435	8.466666666666672	6.400000000000013	6.733333333333345	7.533333333333342	7.500000000000009	7.933333333333341																							Aargau	Aargau	Alberta	Aargau	Aargau	Maryland	Ontario	Aargau	Aargau	Aargau	Ontario	Aargau	Aargau	Aargau	Aargau																							Switzerland	Switzerland	Canada	Switzerland	Switzerland	United States	Canada	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland																						
Vladivostok, Primorskiy Kray, Russia	3081.794150705467	2929.005146274785	6.094444444444459	1.1049412028376833	12	1404.7768045557596	1209.6424544749734	1286.3000049677014	6057.853359101622	6626.801685326109	6410.279836825259	205.4883129547975	75.55019671099457	216.75126601485124	69.95144744599031	6695.529037183656	6722.605402903892																										4.766666666666685	5.900000000000015	5.600000000000016	7.800000000000008	7.766666666666675	6.733333333333345	6.800000000000011	6.900000000000011	6.133333333333347	5.766666666666682	4.633333333333352	4.3333333333333535																										Aargau	Aargau	Aargau	California	California	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Switzerland	Switzerland	Switzerland	United States	United States	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Krasnoyarsk, Krasnoyarskiy Kray, Russia	2685.58974029816	1130.3420768042163	6.986666666666677	1.899426814126356	10	543.5442370319411	3180.0950985848817	3229.8725147976375	380.5699027869092	3204.422294620509	3681.709123853708	3504.6715198043908	3151.592360932447	2991.2103313783086	2988.2100191908635																												1.733333333333361	8.466666666666672	7.700000000000008	6.300000000000013	8.266666666666673	8.600000000000005	6.466666666666679	7.20000000000001	7.766666666666675	7.366666666666676																												Karnataka	California	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau																												India	United States	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland																											
Kemerovo, Kemerovskaya Oblast’, Russia	2409.353312010246	1047.9322028267625	8.062962962962969	0.40013715069835426	9	3311.094191495678	1831.1054520222883	1194.1149736672737	2981.8376708633914	178.15192060283027	2578.338514808659	3181.526669665792	3343.254320117881	3084.756094848422																													8.266666666666673	8.100000000000007	8.166666666666673	8.366666666666672	7.000000000000011	8.433333333333339	8.066666666666674	7.966666666666674	8.200000000000006																													New York	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																													United States	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																												
Tomsk, Tomskaya Oblast’, Russia	2343.4419775276106	320.18359557778336	7.950000000000006	0.23550575993585077	6	1948.6623830501253	2863.8809155190625	2260.3354049822956	2548.511908743418	1986.4153691497834	2452.845883720978																																7.800000000000008	7.966666666666674	8.266666666666673	7.533333333333342	8.13333333333334	8.000000000000007																																Bavaria	Aargau	Alberta	Aargau	Aargau	Aargau																																Germany	Switzerland	Canada	Switzerland	Switzerland	Switzerland																															
Barnaul, Altayskiy Kray, Russia	2316.0198190910346	976.9099850785491	6.50277777777779	1.4103754644126754	12	2479.5134773978352	2820.3801531427803	3744.5658674833603	2733.549931723062	196.0731684335268	2292.695513530911	2547.835931300613	1745.7123894973035	2818.790749038185	2974.207025310034	2878.029585431098	560.8840368037056																										6.700000000000012	4.633333333333352	3.333333333333357	5.23333333333335	6.633333333333345	8.03333333333334	8.066666666666674	7.700000000000008	6.433333333333346	7.4333333333333425	7.700000000000008	6.133333333333347																										California	Michigan	Michigan	England	Stockholm	Aargau	Aargau	North Carolina	Aargau	California	Aargau	Aargau																										United States	United States	United States	United Kingdom	Sweden	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	Switzerland																									
Ghulja, Xinjiang, China	1958.7900378325621	1428.0822556057517	7.377777777777786	0.5548328632776156	12	3765.9462379815413	3578.5068532724563	3404.0943885461343	3054.2810125545852	2784.508731853862	3073.2065335238235	2065.7761409485474	123.71096386104023	43.18611099879405	121.45965064033999	777.7001968189703	713.1036329906515																										7.566666666666675	7.866666666666674	7.466666666666676	7.466666666666676	7.766666666666675	7.866666666666674	7.766666666666675	7.233333333333343	7.866666666666674	6.16666666666668	7.166666666666677	6.333333333333346																										Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Shihezi, Xinjiang, China	1854.6191773316448	1337.00568615654	6.825000000000011	1.0086776271711135	12	698.7125010730296	3122.5769328516308	502.7629936268912	3005.7866559108897	3059.2922321056913	3347.058113775178	3520.4774378956795	410.5645198851687	361.47017236904634	256.9551744059747	2984.766545341131	985.0068487394283																										6.2000000000000135	5.400000000000016	7.6000000000000085	8.300000000000006	8.03333333333334	5.633333333333349	7.033333333333344	5.633333333333349	6.633333333333345	7.733333333333341	5.900000000000015	7.800000000000008																										England	Aargau	California	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Hesse	Aargau																										United Kingdom	Switzerland	United States	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Germany	Switzerland																									
Magnitogorsk, Chelyabinskaya Oblast’, Russia	1776.0107008442053	1749.3646955069842	6.140000000000012	2.5879550056195098	5	762.0186205145783	1428.3234974609975	913.9279615752693	5226.328416876199	549.4550077939826																																	6.866666666666678	7.366666666666676	7.266666666666676	1.0333333333333588	8.166666666666673																																	Pennsylvania	Pennsylvania	Aargau	Ontario	Aargau																																	United States	United States	Switzerland	Canada	Switzerland																																
