citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101
Tiwanaku, Tiwanaku Empire	14495.867094277064	3714.1545403772016	5.745833333333349	1.9610752082014078	8	19485.9559007782	14003.112270881855	10333.489708910214	17023.121914949963	18132.54808095574	10970.748405003531	16973.18129900922	9044.77917372779																																																																																															7.033333333333344	3.633333333333356	6.066666666666681	7.20000000000001	5.33333333333335	6.2000000000000135	8.533333333333339	1.966666666666695																																																																																															Saxony	England	Saxony	Alberta	Ontario	Aargau	Västerbotten	South Carolina																																																																																															Germany	United Kingdom	Germany	Canada	Canada	Switzerland	Sweden	United States																																																																																														
Wolfe Creek Crater	14007.033175591878	2029.2510574897092	6.173333333333347	1.4753380027038572	5	14909.285513547564	16188.672713068441	14879.135795995486	13822.103092162131	10235.968763185761																																																																																																		5.866666666666681	6.600000000000012	3.500000000000023	7.766666666666675	7.1333333333333435																																																																																																		Florida	Florida	Florida	Alberta	Aargau																																																																																																		United States	United States	United States	Canada	Switzerland																																																																																																	
Death place of Ferdinand Magellan	12151.09232313022	2078.356901823786	4.422222222222242	1.8795849292258155	3	10969.798324962007	15072.567390617629	10410.911253811026																																																																																																				7.066666666666677	2.866666666666692	3.333333333333357																																																																																																				Florida	England	England																																																																																																				United States	United Kingdom	United Kingdom																																																																																																			
Mount Kosciuszko	10743.10739473851	4986.427495953347	5.871794871794886	1.6071339970326455	13	10233.979218667655	11400.363815852737	15615.495872738886	15085.5617727791	14979.624059777732	10155.035835399629	13583.9439594693	37.23641567035909	93.86024288103309	12261.079783313053	9858.402574941589	15482.23545482631	10873.577125283266																																																																																										5.766666666666682	4.366666666666687	5.766666666666682	4.0333333333333545	7.766666666666675	6.966666666666677	5.533333333333349	5.7333333333333485	7.266666666666676	7.500000000000009	2.400000000000027	5.000000000000018	8.23333333333334																																																																																										England	England	Saxony	Aargau	California	Ontario	Aargau	Ontario	Aargau	Florida	Florida	Florida	Alberta																																																																																										United Kingdom	United Kingdom	Germany	Switzerland	United States	Canada	Switzerland	Canada	Switzerland	United States	United States	United States	Canada																																																																																									
Newnes Glowworm Tunnel	10067.253061297792	7510.037617900072	5.791666666666682	1.2135519491695947	8	101.44278805858738	17043.596718642	13745.963810533547	16952.79229896403	14828.098752336466	1128.1582455833777	185.65772403802524	16552.314152226303																																																																																															7.20000000000001	5.166666666666684	3.0666666666666913	6.36666666666668	5.2666666666666835	6.766666666666678	6.300000000000013	6.2000000000000135																																																																																															Florida	England	England	Saxony	Aargau	England	England	Saxony																																																																																															United States	United Kingdom	United Kingdom	Germany	Switzerland	United Kingdom	United Kingdom	Germany																																																																																														
Gereja Ayam ('Chicken Church')	9809.355498085633	6656.169011643799	5.600000000000014	2.3687197667375735	8	2749.6548145725933	8726.749635970606	4780.208948414601	18406.823505677246	15634.061478476786	19049.85961187165	8428.292763992064	699.1932257095193																																																																																															6.033333333333347	5.800000000000015	8.366666666666672	3.800000000000022	6.566666666666679	6.766666666666678	0.23333333333335882	7.233333333333343																																																																																															Florida	Florida	Västerbotten	Alberta	England	Aargau	California	Aargau																																																																																															United States	United States	Sweden	Canada	United Kingdom	Switzerland	United States	Switzerland																																																																																														
Extremely Large Telescope (ELT)	9782.08716293012	2241.428459222081	6.8888888888889	0.7405370090200699	3	8394.629349471183	12944.058950459575	8007.573188859602																																																																																																				6.300000000000013	6.433333333333346	7.933333333333341																																																																																																				Ontario	Aargau	New York																																																																																																				Canada	Switzerland	United States																																																																																																			
Elugelab (First H-Bomb Test Site)	9771.18346193902	986.7163097418418	5.733333333333347	2.434109465264218	5	9080.30871782057	9736.353481704953	8935.401938205352	9440.19956618965	11663.65360577457																																																																																																		7.933333333333341	1.0666666666666922	5.766666666666682	7.10000000000001	6.800000000000011																																																																																																		Alberta	Florida	Västerbotten	Alberta	Aargau																																																																																																		Canada	United States	Sweden	Canada	Switzerland																																																																																																	
Vela Incident	9071.515123256697	4478.496660348332	6.880000000000011	1.2912698315138342	5	14276.386135699362	10995.821226486867	8745.47684933619	10478.447311121054	861.4440936400139																																																																																																		6.26666666666668	6.766666666666678	7.566666666666675	8.833333333333337	4.9666666666666845																																																																																																		Burgenland	Ontario	Aargau	Västerbotten	England																																																																																																		Austria	Canada	Switzerland	Sweden	United Kingdom																																																																																																	
Fergana Valley	8587.404040934749	4111.646377910681	6.812820512820526	1.4908001902000738	13	11704.695353417392	11396.337491202701	5477.7027927832405	11435.583025924741	3884.1564081507727	11213.60829119446	6687.66479894747	6226.699227961565	298.22051936545546	11213.963793400431	4972.231162740394	15562.441644148037	11562.94802291507																																																																																										3.966666666666688	4.8000000000000185	8.400000000000006	6.900000000000011	7.1333333333333435	7.366666666666676	4.3333333333333535	6.26666666666668	7.766666666666675	8.433333333333339	8.533333333333339	6.933333333333344	7.733333333333341																																																																																										England	England	Alberta	Aargau	Ontario	Aargau	Alberta	Florida	Florida	Florida	Västerbotten	Aargau	Saxony																																																																																										United Kingdom	United Kingdom	Canada	Switzerland	Canada	Switzerland	Canada	United States	United States	United States	Sweden	Switzerland	Germany																																																																																									
